,habitat,common,scientific
123,marine,Whitebelly puffer,Canthigaster bennetti
124,marine,Yellow boxfish,Ostracion cubicus
125,marine,Copperband butterflyfish,Chelmon rostratus
126,marine,Schooling bannerfish,Heniochus diphreutes
127,marine,Longnose butterflyfish,Forcipiger flavissimus
128,marine,Raccoon butterflyfish,Chaetodon lunula
129,marine,Redback butterflyfish,Chaetodon paucifasciatus
130,marine,Merten's butterflyfish,Chaetodon mertensii
131,marine,Teardrop butterflyfish,Chaetodon unimaculatus
132,marine,Latticed butterflyfish,Chaetodon rafflesii
133,marine,Pacific double saddle butterflyfish,Chaetodon ulietensis
134,marine,Sickle butterflyfish,Chaetodon falcula
135,marine,Threadfin butterflyfish,Chaetodon auriga
136,marine,Tinker's butterflyfish,Chaetodon tinkeri
137,marine,Masked butterflyfish,Chaetodon semilarvatus
138,marine,Reef butterflyfish,Chaetodon sedentarius
139,marine,Four-eyed butterflyfish,Chaetodon capistratus
140,marine,Banded butterflyfish,Chaetodon striatus
141,marine,Saddleback butterflyfish,Chaetodon ephippium
142,marine,Fragile cardinalfish,Apogon fragilis
143,marine,Banggai cardinal,Pterapogon kauderni
144,marine,Blackstripe cardinalfish,Apogon nigrofasciatus
145,marine,Bluebarred cardinalfish,Apogon flores
146,marine,Bluestreak cardinalfish,Apogon leptacanthus
147,marine,Flamefish,Apogon maculatus
148,marine,Frostfin cardinalfish,Apogon hoeveni
149,marine,Gilbert's cardinalfish,Apogon gilberti
150,marine,Girdled cardinalfish,Archamia zosterophora
151,marine,Orange-striped cardinalfish,Ostorhinchus cyanosoma
152,marine,Orbic cardinalfish,Sphaeramia orbicularis
153,marine,Pajama cardinalfish,Sphaeramia nematoptera
154,marine,Ochre-striped cardinalfish,Ostorhinchus compressus
155,marine,Ringtailed cardinalfish,Ostorhinchus aureus
156,marine,Ambon chromis,Chromis amboinensis
157,marine,Barrier reef chromis,Chromis nitida
158,marine,Black and gold chromis,Neoglyphidodon nigroris
159,marine,Black bar chromis,Chromis retrofasciata
160,marine,Blue chromis,Chromis cyanea
161,marine,Damselfish,Chromis chromis
162,marine,Green chromis,Chromis viridis
163,marine,Half and half chromis,Chromis iomelas
164,marine,Limbaughi chromis,Chromis limbaughi
165,marine,Lined chromis,Chromis lineata
166,marine,Paletail chromis,Chromis xanthura
167,marine,Black-axil chromis,Chromis atripectoralis
168,marine,Spiny chromis,Acanthochromis polyacanthus
169,marine,Sunshine chromis,Chromis insolatus
170,marine,Yellowspotted chromis,Chromis flavomaculata
171,marine,Black and white chromis,Chromis margaritifer
172,marine,Cinnamon anemonefish,Amphiprion melanopus
173,marine,Clarkii anemonefish,Amphiprion clarkii
174,marine,Ocellaris,Amphiprion ocellaris
175,marine,Maroon clownfish,Premnas biaculeatus
176,marine,True Percula,Amphiprion percula
177,marine,Pink skunk anemonefish,Amphiprion perideraion
178,marine,Tomato clownfish,Amphiprion frenatus
179,marine,Saddleback anemonefish,Amphiprion polymnus
180,marine,Sebae anemonefish,Amphiprion sebae
181,marine,Ambon damsel,Pomacentrus amboinensis
182,marine,Azure damsel,Chrysiptera hemicyanea
183,marine,Black and gold damsel,Neoglyphidodon nigroris
184,marine,Blackmargined damsel,Pomacentrus nigromarginatus
185,marine,"Blue damsel, Orangetail damsel",Chrysiptera cyanea
186,marine,Blue and gold damsel,Pomacentrus coelestis
187,marine,Blue velvet damsel,Paraglyphidodon oxyodon
188,marine,Blueback damsel,Pomacentrus simsiang
189,marine,"Blueline demoiselle, Yellowfin demoiselle",Chrysiptera caeruleolineata
190,marine,Bluefin damsel,Neoglyphidodon melas
191,marine,Caerulean damsel,Pomacentrus caeruleus
192,marine,Canary deep water damsel,Chrysiptera galba
193,marine,Cloudy damsel,Dascyllus carneus
194,marine,Cross' damsel,Neoglyphidodon crossi
195,marine,Domino damsel,Dascyllus trimaculatus
196,marine,Fiji blue devil damsel,Chrysiptera taupou
197,marine,Four stripe damsel,Dascyllus melanurus
198,marine,Garibaldi damsel,Hypsypops rubicunda
199,marine,Honey head damsel,Dischistodus prosopotaenia
200,marine,Hawaiian Dascyllus,Dascyllus albisella
201,marine,Jewel damsel,Microspathodon chrysurus
202,marine,King demoiselle,Chrysiptera rex
203,marine,Lemon damsel,Pomacentrus moluccensis
204,marine,Longfin gregory,Stegastes diencaeus
205,marine,Marginated damsel,Dascyllus marginatus
206,marine,Neon damsel,Pomacentrus alleni
207,marine,Ocellate damsel,Pomacentrus vaiuli
208,marine,Pavo damsel,Pomacentrus pavo
209,marine,Pink Smith damsel,Pomacentrus smithi
210,marine,Rolland's demoiselle,Chrysiptera rollandi
211,marine,Sergeant major damsel,Abudefduf saxatilis
212,marine,Speckled damsel,Pomacentrus bankanensis
213,marine,Springer's damsel,Chrysiptera springeri
214,marine,Stark's damsel,Chrysiptera starcki
215,marine,Talbots damsel,Chrysiptera talboti
216,marine,Three stripe damsel,Dascyllus aruanus
217,marine,Three Spot damsel,Stegastes planifrons
218,marine,Tuxedo damsel,Chrysiptera tricincta
219,marine,Two stripe damsel,Dascyllus reticulatus
220,marine,Yellow damsel,Amblyglyphidodon aureus
221,marine,Yellow threespot Dascyllus,Dascyllus auripinnis
222,marine,Yellowbelly damsel,Pomacentrus auriventris
223,marine,Yellowtail Dascyllus,Dascyllus flavicaudus
224,marine,Yellowtail damsel,Chrysiptera parasema
225,marine,Yellowtail demoiselle,Neopomacentrus azysron
226,marine,Blue gudgeon dartfish,Ptereleotris hanae
227,marine,Fire fish,Nemateleotris magnifica
228,marine,Purple fire fish,Nemateleotris decora
229,marine,Scissortail dartfish,Ptereleotris evides
230,marine,Zebra barred dartfish,Ptereleotris zebra
231,marine,Mandarinfish,Synchiropus splendidus
232,marine,Starry dragonet,Synchiropus stellatus
233,marine,Ocellated dragonet,Synchiropus ocellatus
234,marine,Spotted mandarin,Synchiropus picturatus
235,marine,Banded snake eel,Myrichthys colubrinus
236,marine,Banded eel,Echidna polyzona
237,marine,Black edge moray eel,Gymnothorax saxicola
238,marine,"Blue ribbon eel, black ribbon eel",Rhinomuraena quaesita
239,marine,Chainlink moray eel,Echidna catenata
240,marine,Dragon moray eel,Enchelycore pardalis
241,marine,Golden dwarf eel,Gymnothorax melatremus
242,marine,Golden moray eel,Gymnothorax miliaris
243,marine,Green moray eel,Gymnothorax funebris
244,marine,Jeweled moray eel,Muraena lentiginosa
245,marine,Kidako moray eel,Gymnothorax kidako
246,marine,Peppered moray,Gymnothorax picta
247,marine,Snowflake eel,Echidna nebulosa
248,marine,Spotted garden-eel,Heteroconger hassi
249,marine,Spotted Snake eel,Myrichthys maculosus
250,marine,"Tessalata eel, or laced moray",Gymnothorax favagineus
251,marine,Yellowhead moray eel,Gymnothorax fimbriatus
252,marine,Yellow mouth moray eel,Gymnothorax nudivomer
253,marine,Whitemouth moray eel,Gymnothorax meleagris
254,marine,Zebra moray,Gymnomuraena zebra
255,marine,Clown filefish,Cantherhines dumerili
256,marine,Colored filefish,Pervagor melanocephalus
257,marine,Fantail orange filefish,Pervagor spilosoma
258,marine,Horseshoe filefish,Meuschenia hippocrepis
259,marine,Japanese filefish,Paramonacanthus japonicus
260,marine,Mimic filefish,Paraluteres prionurus
261,marine,Orange spotted filefish,Oxymonacanthus longirostris
262,marine,Tassle filefish,Chaetodermis penicilligerus
263,marine,Peacock flounder,Bothus lunatus
264,marine,Flowery (Indo-Pacific peacock) flounder,Bothus mancus
265,marine,Banded sole,Soleichthys heterorhinos
266,marine,Longlure frogfish,Antennarius multiocellatus
267,marine,Giant anglerfish,Antennarius commerson
268,marine,Sargassum frogfish,Histrio histrio
269,marine,Striated frogfish,Antennarius striatus
270,marine,Wartskin frogfish,Antennarius maculatus
271,marine,Bicolor goatfish,Parupeneus barberinoides
272,marine,Goldsaddle goatfish,Parupeneus cyclostomus
273,marine,Manybar goatfish,Parupeneus multifasciatus
274,marine,Yellow back goatfish,Parupeneus barberinus
275,marine,Black barred convict goby,Priolepis nocturna
276,marine,Black clown goby,Gobiodon acicularis
277,marine,Bluespotted watchman goby,Cryptocentrus pavoninoides
278,marine,Catalina goby,Lythrypnus dalli
279,marine,Cave transparent goby,Coryphopterus glaucofraenum
280,marine,Citron clown goby,Gobiodon citrinus
281,marine,Court jester goby,Amblygobius rainfordi
282,marine,Diagonal bar prawn goby,Amblyeleotris diagonalis
283,marine,Diamond watchman goby,Valenciennea puellaris
284,marine,Dracula goby,Stonogobiops dracula
285,marine,Gold neon eviota goby,Eviota pellucida
286,marine,Green banded goby,Elacatinus multifasciatus
287,marine,Green clown goby,Gobiodon atrangulatus
288,marine,Hector's goby,Amblygobius hectori
289,marine,Hi fin red banded goby,Stonogobiops nematodes
290,marine,Neon goby,Elacatinus oceanops
291,marine,Orange marked goby,Amblygobius decussatus
292,marine,Orange spotted goby,Amblyeleotris guttata
293,marine,Orange stripe prawn goby,Amblyeleotris randalli
294,marine,Pinkspotted shrimp goby,Gobius melanopus
295,marine,Pinkbar goby,Cryptocentrus aurora
296,marine,Red head goby,Elacatinus puncticulatus
297,marine,Red striped goby,Trimma cana
298,marine,Sleeper banded goby,Amblygobius phalaena
299,marine,Sleeper blue dot goby,Valenciennea sexguttata
300,marine,Sleeper gold head goby,Valenciennea strigata
301,marine,Sleeper railway glider goby,Valenciennea helsdingenii
302,marine,Sleeper striped goby,Valenciennea longipinnis
303,marine,Steinitz goby,Amblyeleotris steinitzi
304,marine,Tangaroa goby,Ctenogobiops tangaroai
305,marine,Tiger watchman goby,Valenciennea wardii
306,marine,Two spot goby,Signigobius biocellatus
307,marine,Violet goby,Gobioides broussonnetii
308,marine,Wheeler's watchman goby,Amblyeleotris wheeleri
309,marine,Yellow watchman goby,Cryptocentrus cinctus
310,marine,Yasha goby,Stonogobiops yasha
311,marine,Yellow clown goby,Gobiodon okinawae
312,marine,Yellow priolepis goby,Priolepis aureoviridis
313,marine,Yellow stripe clingfish,Diademichthys lineatus
314,marine,Flaming Prawn Goby,Discordipinna griessingeri
315,marine,Crescent banded grunt,Terapon jarbua
316,marine,Dogfish prientalis,Plectorhinchus lineatus
317,marine,Oriental sweetlips,Plectorhinchus orientalis
318,marine,Painted sweetlips,Plectorhinchus picus
319,marine,Porkfish,Anisotremus virginicus
320,marine,Spotted sweetlips,Plectorhinchus chaetodonoides
321,marine,Striped sweetlips,Plectorhinchus diagrammus
322,marine,Twostriped sweetlips,Plectorhinchus albovittatus
323,marine,Barred hamlet,Hypoplectrus puella
324,marine,Black hamlet,Hypoplectrus nigricans
325,marine,Blue hamlet,Hypoplectrus gemma
326,marine,Butter hamlet,Hypoplectrus unicolor
327,marine,Golden hamlet,Hypoplectrus gummigutta
328,marine,Indigo hamlet,Hypoplectrus indigo
329,marine,Shy hamlet,Hypoplectrus guttavarius
330,marine,Arc eye hawkfish,Paracirrhites arcatus
331,marine,Blood red hawkfish,Cirrhitichthys fasciatus
332,marine,Coral hawkfish,Cirrhitichthys oxycephalus
333,marine,Falco's hawkfish,Cirrhitichthys falco
334,marine,Flame hawkfish,Neocirrhitus armatus
335,marine,Freckled hawkfish,Paracirrhites forsteri
336,marine,Golden hawkfish,Paracirrhites xanthus
337,marine,Longnose hawkfish,Oxycirrhites typus
338,marine,Lyretail hawkfish,Cirrhitichthys polyactis
339,marine,Redspotted hawkfish,Amblycirrhitus pinos
340,marine,Spotted hawkfish,Cirrhitichthys aprinus
341,marine,Whitespot hawkfish,Paracirrhites hemistictus
342,marine,Yellow hawkfish,Cirrhitichthys aureus
343,marine,Coral hogfish,Bodianus mesothorax
344,marine,Cuban hogfish,Bodianus pulchellus
345,marine,Hawaiian hogfish,Bodianus bilunulatus
346,marine,Red diana hogfish,Bodianus diana
347,marine,Spanish hogfish,Bodianus rufus
348,marine,Twin spot hogfish,Bodianus bimaculatus
349,marine,Moorish idol,Zanclus cornutus
350,marine,Pilot fish,Naucrates ductor
351,marine,Golden trevally,Gnathanodon speciosus
352,marine,Indian threadfin,Alectis indicus
353,marine,Threadfin lookdown,Selene vomer
354,marine,Black cap jawfish,Opistognathus lonchurus
355,marine,Blue dot jawfish,Opistognathus rosenblatti
356,marine,Dusky jawfish,Opistognathus whitehurstii
357,marine,Yellowhead jawfish,Opistognathus aurifrons
358,marine,Antenneta lionfish,Pterois antennata
359,marine,Blackfoot lionfish,Parapterois heterura
360,marine,Devil lionfish,Pterois mombasae
361,marine,Fu Man Chu lionfish,Dendrochirus biocellatus
362,marine,Fuzzy dwarf lionfish,Dendrochirus brachypterus
363,marine,Green lionfish,Dendrochirus barberi
364,marine,Radiata lionfish,Pterois radiata
365,marine,Russell's lionfish,Pterois russelii
366,marine,Volitan lionfish,Pterois volitans
367,marine,Zebra lionfish,Dendrochirus zebra
368,marine,Bicolor parrotfish,Cetoscarus bicolor
369,marine,Princess parrotfish,Scarus taeniopterus
370,marine,Banded pipefish,Doryrhamphus dactyliophorus
371,marine,Dragonface pipefish,Corythoichthys haematopterus
372,marine,Janss' pipefish,Doryrhamphus janssi
373,marine,Yellow multibanded pipefish,Doryrhamphus pessuliferus
374,marine,Allen's dottyback,Manonichthys alleni
375,marine,Australian multicolor pseudochromis,Ogilbyina novaehollandiae
376,marine,Bicolor pseudochromis,Pseudochromis paccagnellae
377,marine,Blue flavivertex pseudochromis,Pseudochromis flavivertex
378,marine,Bluelined dottyback,Pseudochromis cyanotaenia
379,marine,Brown dottyback or yellow pseudochromis,Pseudochromis aureus
380,marine,Cherry dottyback,Pholidochromis cerasina
381,marine,Dilectus dottyback,Pseudochromis dilectus
382,marine,Dusky dottyback,Pseudochromis fuscus
383,marine,Elongate dottyback,Pseudochromis elongatus
384,marine,Firetail dottyback,Pseudochromis flammicauda
385,marine,Fridmani pseudochromis or orchid dottyback,Pseudochromis fridmani
386,marine,Longfin dottyback,Manonichthys polynemus
387,marine,Lyretail dottyback,Pseudochromis steenei
