,habitat,common,scientific
526,marine,"Naso tang, blonde naso tang",Naso lituratus
527,marine,Orange shoulder tang,Acanthurus olivaceus
528,marine,Powder blue tang,Acanthurus leucosternon
529,marine,Powder brown tang,Acanthurus japonicus
530,marine,Purple tang,Zebrasoma xanthurum
531,marine,Sailfin tang,Zebrasoma veliferum
532,marine,Scopas tang,Zebrasoma scopas
533,marine,Sohal tang,Acanthurus sohal
534,marine,Tennent tang,Acanthurus tennenti
535,marine,Thompson's surgeonfish,Acanthurus thompsoni
536,marine,Tomini tang,Ctenocheatus tominiensis
537,marine,Unicorn tang,Naso unicornis
538,marine,Vlamingi tang,Naso vlamingii
539,marine,White freckled surgeon,Acanthurus maculiceps
540,marine,Yellow tang,Zebrasoma flavescens
541,marine,Yellowfin surgeon,Acanthurus xanthopterus
542,marine,Blue-headed tilefish,Hoplolatilus starcki
543,marine,Purple tilefish,Hoplolatilus purpureus
544,marine,Yellow tilefish,Hoplolatilus luteus
545,marine,Redlined tilefish,Hoplolatilus marcosi
546,marine,Assasi trigger,Rhinecanthus assasi
547,marine,Blue jaw trigger / blue throat trigger,Xanthichthys auromarginatus
548,marine,Blue line trigger,Pseudobalistes fuscus
549,marine,Bursa trigger,Rhinecanthus verrucosus
550,marine,Clown trigger,Balistoides conspicillum
551,marine,Crosshatch trigger,Xanthichthys mento
552,marine,Goldenback trigger,Xanthichthys caeruleolineatus
553,marine,Golden heart trigger,Balistes punctatus
554,marine,Halfmoon trigger,Sufflamen chrysopterum
555,marine,Hawaiian black trigger,Melichthys niger
556,marine,Lei trigger,Sufflamen bursa
557,marine,Indian black trigger,Melichthys indicus
558,marine,Niger trigger,Odonus niger
559,marine,Picasso trigger,Rhinecanthus aculeatus
560,marine,Pinktail trigger,Melichthys vidua
561,marine,Queen trigger,Balistes vetula
562,marine,Rectangular trigger,Rhinecanthus rectangulus
563,marine,Sargassum trigger,Xanthichthys ringens
564,marine,Starry trigger,Abalistes stellatus
565,marine,Titan trigger,Balistoides viridescens
566,marine,Undulated trigger,Balistapus undulatus
567,marine,Whitetail trigger,Sufflamen albicaudatum
568,marine,Banana wrasse,Thalassoma lutescens
569,marine,Bicolor cleaner wrasse,Labroides bicolor
570,marine,Bird wrasse,Gomphosus varius
571,marine,Bluehead wrasse,Thalassoma bifasciatum
572,marine,Bluestreak cleaner wrasse,Labroides dimidiatus
573,marine,Carpenter's flasher wrasse,Paracheilinus carpenteri
574,marine,Cheeklined maori wrasse,Cheilinus diagrammus
575,marine,Christmas wrasse,Thalassoma trilobatum
576,marine,Cortez rainbow wrasse,Thalassoma lucasanum
577,marine,Dragon wrasse,Novaculichthys taeniourus
578,marine,Eight line wrasse,Pseudocheilinus octotaenia
579,marine,Exquisite fairy wrasse,Cirrhilabrus exquisitus
580,marine,Fine-spotted fairy wrasse,Cirrhilabrus punctatus
581,marine,Flame wrasse,Cirrhilabrus jordani
582,marine,Formosa wrasse,Coris formosa
583,marine,Four line wrasse,Pseudocheilinus tetrataenia
584,marine,Goldbar wrasse,Thalassoma hebraicum
585,marine,Greenback fairy wrasse,Cirrhilabrus scottorum
586,marine,Harlequin tusk,Choerodon fasciatus
587,marine,Hawaiian cleaner wrasse,Labroides phthirophagus
588,marine,Hoeven's wrasse,Halichoeres melanurus
589,marine,Jansen saddle wrasse,Thalassoma jansenii
590,marine,Labout's fairy wrasse,Cirrhilabrus laboutei
591,marine,Leopard wrasse,Macropharyngodon meleagris
592,marine,Lineatus fairy wrasse,Cirrhilabrus lineatus
593,marine,Longfin fairy wrasse,Cirrhilabrus rubriventralis
594,marine,Lyretail wrasse/Moon wrasse,Thalassoma lunare
595,marine,Marble wrasse,Halichoeres hortulanus
596,marine,McCosker's flasher wrasse,Paracheilinus mccoskeri
597,marine,Multicolor lubbock's wrasse,Cirrhilabrus lubbocki
598,marine,Multicolor velvet wrasse,Cirrhilabrus cyanopleura
599,marine,Mystery wrasse,Pseudocheilinus ocellatus
600,marine,Orange-back fairy wrasse,Cirrhilabrus aurantidorsalis
601,marine,Pastel-green wrasse,Halichoeres chloropterus
602,marine,Pinkface wrasse,Thalassoma quinquevittatum
603,marine,Potter's wrasse,Macropharyngodon geoffroyi
604,marine,Red coris wrasse,Coris gaimard
605,marine,Red-head fairy wrasse,Cirrhilabrus solorensis
606,marine,Red velvet wrasse,Cirrhilabrus rubrisquamis
607,marine,Scarlet pin stripe wrasse,Pseudocheilinus evanidus
608,marine,Six line wrasse,Pseudocheilinus hexataenia
609,marine,Radiant wrasse,Halichoeres iridis
610,marine,Rhomboid fairy wrasse,Cirrhilabrus rhomboidalis
611,marine,Whip fin fairy wrasse,Cirrhilabrus filamentosus
612,marine,Yellow wrasse,Halichoeres chrysus
613,marine,Yellow & purple wrasse,Halichoeres trispilus
614,marine,Yellowband wrasse,Cirrhilabrus luteovittatus
615,marine,Yellow fin fairy wrasse,Cirrhilabrus flavidorsalis
616,marine,Yellow-flanked fairy wrasse,Cirrhilabrus lyukyuensis
